words,frequency,weight base,offset,weight
not,40,5,,5
updat,20,4,,4
work,12,4,,4
notif,6,3,,3
crash,5,3,1,4
slow,5,3,,3
featur,4,3,1,4
miss,4,3,,3
option,4,3,,3
post,4,3,,3
privaci,4,3,,3
unabl,4,3,,3
batteri,3,2,,2
bug,3,2,2,4
enabl,3,2,,2
function,3,2,,2
languag,3,2,,2
lock,3,2,,2
need,3,2,,2
paus,3,2,,2
problem,3,2,1,3
use,3,2,,2
after,2,2,,2
algorithm,2,2,,2
delet,2,2,,2
disabl,2,2,,2
fail,2,2,2,4
file,2,2,,2
hard,2,2,,2
key,2,2,,2
lack,2,2,,2
loos,2,2,,2
may,2,2,,2
messag,2,2,,2
playlist,2,2,,2
remov,2,2,,2
return,2,2,,2
search,2,2,,2
set,2,2,,2
show,2,2,,2
sync,2,2,,2
tab,2,2,,2
video,2,2,,2
abl,1,1,,1
accur,1,1,,1
ad,1,1,,1
agre,1,1,,1
all,1,1,,1
alway,1,1,,1
arrow,1,1,,1
auto,1,1,,1
bar,1,1,,1
block,1,1,,1
build,1,1,,1
but,1,1,,1
button,1,1,,1
call,1,1,,1
complic,1,1,,1
connect,1,1,,1
content,1,1,,1
control,1,1,,1
delay,1,1,,1
devic,1,1,,1
display,1,1,,1
doe,1,1,,1
download,1,1,,1
doze,1,1,,1
edit,1,1,,1
emoji,1,1,,1
encrypt,1,1,,1
error,1,1,2,3
eula,1,1,,1
flaw,1,1,,1
font,1,1,,1
format,1,1,,1
friend,1,1,,1
get,1,1,,1
hdr,1,1,,1
homescreen,1,1,,1
imag,1,1,,1
indic,1,1,,1
info,1,1,,1
instal,1,1,,1
internet,1,1,,1
iphone,1,1,,1
kill,1,1,,1
lag,1,1,,1
last,1,1,,1
less,1,1,,1
like,1,1,,1
link,1,1,,1
load,1,1,,1
mess,1,1,,1
music,1,1,,1
name,1,1,,1
new,1,1,,1
now,1,1,,1
number,1,1,,1
other,1,1,,1
overlay,1,1,,1
pars,1,1,,1
pdf,1,1,,1
perform,1,1,,1
phone,1,1,,1
pin,1,1,,1
play,1,1,,1
polish,1,1,,1
print,1,1,,1
reach,1,1,,1
read,1,1,,1
recogn,1,1,,1
remind,1,1,,1
resum,1,1,,1
right,1,1,,1
rout,1,1,,1
save,1,1,,1
scan,1,1,,1
sd,1,1,,1
secur,1,1,,1
send,1,1,,1
share,1,1,,1
silent,1,1,,1
simul,1,1,,1
size,1,1,,1
slowli,1,1,,1
small,1,1,,1
stabl,1,1,,1
store,1,1,,1
subtitl,1,1,,1
tap,1,1,,1
task,1,1,,1
tele,1,1,,1
topic,1,1,,1
trend,1,1,,1
tri,1,1,,1
ui,1,1,,1
unstabl,1,1,,1
upload,1,1,,1
url,1,1,,1
user,1,1,,1
vanish,1,1,,1
visibl,1,1,,1
warn,1,1,,1
when,1,1,,1
widget,1,1,,1
wish,1,1,,1
without,1,1,,1
word,1,1,,1
wrong,1,1,2,3
