score,star_num,help_num,review_content
32.3,2,108,"V4.4.09 crashes regularly and still missing foundational features... Update: 8/10/13 -  Dropped rating one more star. New version 4.4.09 now crashes regularly when multi-select deletes are attempted in ""Unified Folder"". The app crashes probably 60% of the time when I do a multi select then hit ""delete"".  Prev. Issues still there:  1) Basic feature on BB since day 1 to delete email local/server/both not available in K9. You're forced to pick one option in settings (Delete On Server or Delete on Handheld or Mark All as Read on server). This needs to be set by account, or on an email by email basis.  2) It also still can't handle meeting invites through email."
31.8,3,110,"Used to be the best mail app I used but it's quite buggy with Android 6+... Major bug is syncing is erratic - sometimes works, sometimes doesn't unless you disable battery optimisation for the app to exempt it from Doze. Minor bug is sometimes old read emails gets marked as unread. Some aesthetic update wouldn't hurt like some icons."
26.5,3,96,Like it so far No fault in the app but Google has blocked me from signing into my Gmail account because this app doesn’t meet the security requirements. Sure that’s just an excuse for them to get me to download the Gmail app.
24.4,2,74,"Sadly, K-9 is no longer up to the task of it's main function. I've used it for many, many years but since Android 7 it's failed me regularly across three phones. Mostly this means it won't sync mail status nor deletions on some accounts. It will simply disable sync and not let it work again even after removing the account and re-adding. Removing and reinstalling the app shortly results in the same failure. It hasn't been updated in too long, so I put the blame there. Good bye, sweet K-9."
24.05,1,77,The UX is pretty bad but I use it because it supposedly is privacy-friendly. But the app doesn't fetch my messages! Edit: not reliable at all as it rarely notifies me of new emails no matter what email service. UNINSTALL
23.9,3,82,"Would be 5 stars if not for frequent sync issues (it will say ""syncing disabled"" frequently though I have settings so that it should be syncing in the background all the time so as to not miss important emails when they come in) and often trying to send emails with any sort of attachment, regardless of attachment type or size, the emails will get stuck in the outbox for several hours and on some occasions even DAYS. Definitely room for improvement."
21.45,3,77,K-9 Mail is having trouble when OpenVPN connect is activated.  All other apps and web sites work fine.  Even when the VPN is then disconnected on LTE the problem persists.  Moving next back to WiFi the problem still persists as well.  Only a reboot of the phone seems to help.
21.0,3,74,"Good email client, but there is few very uncomfortable moments. 1) When I try to star message in list(star button placed most right side), then it's like roulette - will it star message or will it activate hidden scrollbar and fling somewhere me in a list. 2) Message grouping is not good enough. Many messages that correctly grouped by gmail will not be grouped by k9"
20.3,3,70,Defacto is a bit disappointing It's a well known mail client for a long time - almost the defacto standard for 3rd party Android mail clients perhaps. But it feels like it needs an interface overhaul. Just feels a bit dated and stale. Functionality is good but for me I found connectivity to exchange by owa far slower than other clients I've tried. Also it seems unable to deal properly with nested folders. Some folders I've been unable to see at all.
19.15,2,65,"SORT THE SYNCHRONISATION OUT. PLEASE. IT IS LITERALLY THE KEY FUNCTION OF AN EMAIL CLIENT -LETTING YOU KNOW YOU HAVE NEW EMAIL. I should not have to manually check. Taking another  star off because comments are being ignored. Also, what's with the new - and rather babyish - logo? The original was rather smart. Can we have it back please?"
19.05,2,61,"Seems nice but ... sync disabled. I've set network settings backward sync to be ""Always"", and folder poll all and poll every minute. But the app shows synching disabled. I have no idea how to get it to check mail automatically, which makes it kind of useless."
18.75,1,57,"Actually, it is a very good email app. The new icon totally sucks and the main developer seems to be completely deaf to users feedback about it. Don't be fooled by the icons you see on the Google play page for k9. It isn't showing the new icon.  Even if the old icon doesn't come back, the icon needs a different look from what it is now."
18.6,2,52,"Push mail has not been working reliably for years, always leading to the error message ""Syncing disabled"" and tp delayed incoming mail. Why K-9 disables syncing remains unclear. Other email clients, like Thunderbird, do not have any such problem. K-9 also has too many, too complicated settings and some user interface problems. Apart from these problems it is good."
18.1,3,66,Oldfashioned. Needs polishing very much.
