app_id,score,star_num,helpful_num,review_content
com.google.samples.apps.iosched,107.4,1,402,"Sluggish and insanely slow!! Won't remember where i left off, start screen takes forever to load and has no useful information. All in need is schedule, and takes me several taps to reach where I wanna go. It doesn't even check the date and time to show me the event I am looking for, takes me right to first day 9 am, but hey, its the 3rd day!!!"
com.mapswithme.maps.pro,76.25,1,281,"I paid for this and now it's free. Typical bait and switch. Now they want me to pay for in-app unlockables. This is literally a crime. How dare you put ads in an app I paid for and features I paid for behind another pay wall! I paid for a lifetime ad-free license. At least give us a code for removing ads in the app you thieves! ""We need ads to stay afloat"" what garbage, 50 million plus downloads. I don't want to hear excuses! I'm contacting Google."
com.google.samples.apps.iosched,75.9,2,280,"This app is a disappointment. The first release was not functional to reserve seats and even with the updates it crashes frequently. It was exciting to hear about the new ""AI first"" mindset at Google, it would have been nice to see this implement something intelligent (e.g. show near by events/activities, stop showing past events in list, etc)."
com.mapswithme.maps.pro,74.05,2,287,Bhutan I would have rated 4 or 5 stars like others but since i live in Bhutan and there is no district except for capital Thimphi included in it... i would rate it 5 star if the maker of this app includes all the district or places in bhutan not just thimphu alone...
com.mapswithme.maps.pro,72.5,3,274,"Gave me notification spam, pestering me about some inane part of the app when I wasn't using it. Immediately uninstalled. Developers need to be punished for abusing the notification system (and using it as self-advertising). More and more apps are doing this and users end up drowning in constant useless notifications, and it will only get worse until people take a stand or app stores have to formulate stricter rules regarding them."
com.mapswithme.maps.pro,62.05,2,221,"Good, but battery hog Fast & free. Good functionality. Not as complete as some others when it comes to smaller roads and lanes. But it is a good app that I use regularly. Great for displaying KML routes without a data/Wi-Fi connection. I use it to display my planned bike routes while on the road. BUT, the most recent version is burning through my battery, even while I'm not using it! Today without even running the app once, it used 33% of the total battery usage for the day. That's a problem."
com.mapswithme.maps.pro,61.9,1,226,"dear Maps.me administration, I hope you realize that after your latest updates, you've added an nonexistent country to your map, I'm talking about so called ""Nagorno - Karabakh Republic"" which is not recognised by any nation in the world, and considered as a part of independent Republic of Azerbaijan 🇦🇿. those territories are under occupation, which happened after brutal war with armenian separatist. Showing ""NKR"" in your maps, is denying 4 UN resolutions which are demanding to end occupation."
com.mapswithme.maps.pro,58.9,2,218,"Pixel 2 (Stock Android) Feb/2019: Looks promising but app rarely works properly. Even while traveling abroad, Google Maps Offline worked great but MAPS.ME Offline did not work at all - couldn't even find my location, let alone use navigation. You may have a different experience than I did but I cannot rely on it, and hence, will not recommend it. Hope they fix the issues."
com.google.samples.apps.iosched,58.75,3,219,Love it but where's my schedule? Update: I still do not have web and app showing the same schedule.               I set up my schedule already online but when I log in to the app it doesn't show any of my selections.
com.mapswithme.maps.pro,57.5,3,220,"The app is amazing, maps are amazing, just been to Venice and was really happy with it. There's only one problem. The GPS doesn't show you your exact location, it shows you a location in a 300 meter radius from where u actually standing. If you can fix that, I'll give 5 stars"
com.mapswithme.maps.pro,57.25,2,203,"This app used to be perfect and previously helped me navigate around the world, but after updates these last few months, the app will no longer work offline. Unless I am connected to wifi, the app hangs on the preloading screen logo. Consequently, the app is now useless to me. If I wanted an app that required data and pressured me to to turn on location services, I would use Google Maps. This is disappointing because this used to be my go-to app."
com.mapswithme.maps.pro,55.35,3,197,"It used to be good and still is for basics but: 1) offline navigation instruction completely wrong. The voice says to go straight but instead you need to exit the motorway on the right. 2) rerouting takes too long time most of the times. The navigator keeps on following the route it expected despite the road I took is wrong (for the above mentioned reason). 3) expected time of arrival... the calculator is really negative at the beginning but optimistic after a few km... if I plan a 200km road, the first time indication is about 4hrs (or anyway higher than any reasonably possible time). After 100 or 120km, despite I'm still missing 80km road, the expected time of arrival drops to 1 minute.  Driving with your app has become hard!"
com.google.samples.apps.iosched,51.0,3,200,"It's 2018 and this suggestion is still ignored: There should be some kind 
"
com.mapswithme.maps.pro,49.5,3,158,"I was a bit lost on a tropical island's hill. Used it to find the right path back. Recent version seemed to be acting perversely, sending one to slip road to exit motorway only to rejoin it. Also no option for using motorway if available. Not good. Also it would be useful to be able to have waypoints and preferred routes and types of roads to avoid. Updated version now doesn't bring up saved favourites when planning route when tapping on To button. Another feature absent is any indication of the name of the road you are on, or, often, the junction numbers on motorways. The maps do not always show road names as well, or if they show up, the names will vanish when you zoom."
com.mapswithme.maps.pro,48.05,2,165,"USED to be great !... now it's too complex.. it auto updates unwanted aspects you have no control over ...you can't stop it... and so now I feel that it's invasive on my privacy ...I don't trust it anymore I'm strongly considering uninstalling it. once again , someone took something that worked , made it ""better"" and ruined it ! it's like some unspoken law!!!"
org.stepic.droid,45.9,3,164,I have a problem with opening videos I just get the error that there is no connection while I am connected to the internet and I'm sure about it. Please help me I wanna use the tutorials but I can't. The deadline for the course is closed.
com.google.samples.apps.iosched,45.4,2,164,I cannot attend in person. I wish I could filter the sessions with video. All three days are a giant scroll fest. It's hard to compare sessions when you have to scroll up and down this much. I just registered for all just so I can see them in my calendar. This is a great example of how to make a complicated animated UI that makes everything difficult for the user.
com.google.samples.apps.iosched,44.35,3,171,"Gets the job done, rough around the edges And through the middle. Crashy, resets view every load, just feels buggy and unfinished"
com.mapswithme.maps.pro,44.0,1,140,"Suddenly failed to run After the latest update today, I can no longer use the app! I don't need the latest features, please bring the app alive! I have reinstall rebooted a million times, doesn't work! The app is simply dead and doesn't launch."
com.mapswithme.maps.pro,43.9,1,148,"This app used to be great! Now it just crawls! I'm trying to plan a trip with various stops & I can't even get it started. I want to throw my device across the room! Very sorry it has gotten so unusable. EDIT. Finally the speed picked up, yet it tells me there is no way to get to certain towns where the road is clearly marked and Google Maps has no issue. They take no responsibility for routes not working because they are using some other company's maps. Removed."
com.mapswithme.maps.pro,41.95,1,151,Liked it!!! But recently experiencing problem locating my current location offline.......if this issue is solved i'll give 5 star
com.mapswithme.maps.pro,41.7,1,150,"Was good, now invasive. I do not want popups asking me if I have thought about where I am going this weekend. Deleting it now. Remove this idiotic nonsense and I will reinstall and re-rate it."
com.mapswithme.maps.pro,40.25,3,139,"Love it with a few hicups Good app but has a few issues... 1: When updating the app I loose all my downloaded maps, why not have the app download them for me or perform an update on them. 2: After an update I loose my customised locations. 3: I want to be able to find my destination using coordinates not just names of places... 4. It seems to give prescidence to highways even if they a longer route, this isnt a good algorithm... Otherwise its a good app... I love it and use it daily."
com.mapswithme.maps.pro,38.45,2,123,"I also agree that the app does not work as it used to. Previously you would enter the street number, name and town and it would come up but it now just gives multiple options none of them what you want nor does not give any reference to the town other than the main capital city which means you have to enter everyone until the correct one is found. It used to be a very good app and I used it constantly overseas but now I cannot as I cannot trust it will get me to where I need to go. I tried the OpenStreetMap you mentioned in the previous post and it gives me no option to tell anyone nor does it bring up the requested address."
com.mapswithme.maps.pro,36.7,2,128,"So inaccurate and unreliable! It was the cause of MUCH frustration when walking in Barcelona and Seville. It seems to perform better in cities laid out on a clear grid but beyond that, it's pretty useless. I absolutely would NOT use this app for driving navigation. To be specific, the location arrow is very slow to respond and it often indicates the opposite direction of actual travel. Next, t here seems to be a 'sweet spot' for reading the street signs when zooming in to pinpoint location."
com.mapswithme.maps.pro,36.05,2,123,"Voice guidance is awful: says keep right/left where I have to go straight, doesn't say exit numbers, doesn't say street names. Search is poor: shows the list, but how do I check these places on the map. I click the place and it shows my current location with the option to route to, but sometimes it shows the destination, go figure! No alternative routes, not optimal route, it can give the route which includes traffic lights, a couple of left turns instead of short residential road and right turn"
com.mapswithme.maps.pro,35.1,3,122,"handy and accurate, but the search function only gives exact matches which is tricky when traveling in foreign countries, and it gave me a notification explaining the bookmarks feature after I'd already bookmarked several places. Minor but annoying"
com.mapswithme.maps.pro,34.95,3,107,"Adds have been added in one of the never versions, don't update if you haven't already! It's a good app, but it's NOT a universal map. It works best if you find your destination address with a browser, as the names in OSM don't always match. Due to size limits, searching by street numbers is not possible and this severely limits your options. The app goes nuts if your GPS is broken, and you can't just follow the route by moving the map with fingers, as popups keep reappearing. Maps.me is best if you just move to points you know in advance, using the best in class bookmark system"
