app_id,score,star_num,helpful_num,review_content
org.thoughtcrime.securesms,196.1930894308943,1,656,"WHAT is the point of advertising ""private"" or ""secure communication"" if you are going to get into my contacts database and send me notifications that new users in my contacts have joined Signal?  I didn't ask for that information, the new users did not give their permission to share that information with me, and most importantly, I NEVER gave Signal permission to access my contacts.  Clearly Signal is NOT about protecting privacy.  Uninstalling."
org.thoughtcrime.securesms,132.3211382113821,3,197,"Even though I still use this as my main texting app, unfortunately I have to knock off 2 stars for a huge flaw that the developers refuse to see as an issue. If a user has Signal installed and then uninstalls it, but doesn't unregister their Signal account, your texts will be sent via Signal and your intended recipient won't receive them via their SMS app. There's not a way for you to really know they uninstalled unless they tell you and it needs to be made more apparent to the user when they uninstall that they also need to unregister their account. Luckily, if you know your texts are going to a black hole, you can hold the ""Send"" button and force it to go via unencrypted SMS. I had 2 people who thought I was ghosting them because of this engineering oversight. You can still receive their texts, but they can't receive yours, so it makes you think communication is all good. Other than this massive flaw it's a fantastic app. Love the UI and feature set, but if there's even the slightest chance that I can send texts to someone and have them not receive it, that needs to be addressed ASAP before I can recommend this to anyone else. I've seen many threads open on this same topic and it falls on deaf ears. Pleeease devs, realize it's a problem and take steps to fix it! Some potential solutions: 1. Make it clear to the user when they uninstall that they also need to unregister 2. If someone's messages come in unencrypted, obviously they uninstalled Signal. The app should prompt a warning that the user likely uninstalled and that they won't receive your texts if you try to send via Signal, and recommend switching to unencrypted SMS. That's just off the top of my head and I'm sure there's more elegant ways to solve it."
org.thoughtcrime.securesms,126.3821138211382,1,0,"This app is used all the time and is nearly perfect. Really bad with media though.  Only one image at a time. Can't send video sizes that standard pixel app can but pixel is special like that though even note 5 couldn't send much of a video file. Can't send messages to people without having to show your phone number which would make it more stealth. Also if you set messages to dissapear after certain time frame if android to iPhone , the time will go back to not dissapearing when the other person replies if they haven't also set it the same or set it at all. Also shame that it doesn't let you choose a app icon and shows its a messenger app unless you use a entire icon pack or launcher like nova.  Pixel is best phone ever and is only phone I haven't rooted and I'd like the app icon to appear as a calculator icon but I then have to change my launcher which sucks.  For a stealth app we should have icon options for home screen.   HOWEVER apparently the SMS and calls are secure and not logged with telco and not able to be retrieved from phone once deleted and can't be listened into so thats awesome if it's legit.  I know for a fact that if you out spyware on a mobile and clone a phone without person knowing then you can NOT view signal app SMS like you can every other app but you can listen to phone calls if you have control over the other handset microphone which can't be helped.   It's a legit app.very good at the basic needs so long as what we are told about it not being logged or recorded is true.  I'd pay plenty for this app if I had to and was able to attach a file or multiple images.  Would be great if you could have an option to send a message in a image too. So anybody who finds your phone and opens app sees a picture but not the message unless they had a code to extract the message from the picture like another appointment I've seen.  That would be a great feature . Thanks for this app"
org.thoughtcrime.securesms,121.1239837398374,1,1,"STOP! Using Signal as your SMS app traps you forever! I found this out when I switched devices: Any friends who've sent a Signal message can't send an SMS to that person anymore. Anyone who has to stop using Signal for any reason becomes unreachable & the devs labeled the problem ""won't fix"". Once someone texts you by Signal, Signal won't let them send an SMS anymore; there is no option, no fix. Signal messages sent to a former user go to a black hole. No failure message, no notice that it wasn't received; SMS messages come in & your responses go nowhere. In short, trying Signal with even a few friends FU¢<S YOU out of them ever being able to reach you by SMS ever again (unless they ALL quit using the app?). It's evil. DO NOT USE THIS APP FOR SMS! Ironically upbeat original review follows: Better than most messaging apps, has a nice Dark theme, & can also be your default SMS app, which is convenient (it's a trap! See warning at top). I don't like it telling everyone in my phone book that I'm on Signal. That's pretty invasive & should be optional. Encrypted Signal conversations seem to be stored only on each device, which is more secure, but means that if you reinstall or lose/break your phone, you lose all previous messages, irretrievably. Worse, there's no method to save just one conversation, just a raw .xml log of every message ever, with no encryption. A more secure way to back up individual conversations would put this app in 5-star territory. A Search to pick out certain words in my message history would be super handy too. So would Google Voice integration, or Google Hangouts, Google Allo, or Google Duo... Or get really wild & support WhatsApp messaging so we don't need both apps! Signal is not a decentralized messaging network, so it'll only work as long as Signal's servers are online, & encrypting the transmissions won't help if your phone (or your associate's phone) is hacked; Actual ""privacy"" may vary based upon your skills & how exposed you are in other ways. Don't blame the app if your device is insecure! Overall it's a very pleasant app to use. Making it my default SMS app means I never have to look at a phone's ugly default Messaging app (also means I'm trapped forever! See warning at top). If there's a better encrypted messaging app, I can't tell you about it. DO NOT USE FOR SMS, SEE WARNING AT TOP."
org.thoughtcrime.securesms,114.0650406504065,2,1,"In the latest version (downgrade of the app, forced upon users) the text we view while writing is now even smaller & after we send a text, the words are larger. Can anyone say, ""Backwards!"" Who's idea was it to make the text larger AFTER we send it, WHEN IT DOESN'T MATTER?! LOL. Does anyone read these reviews? Attempted to change 3 stars to 2 stars, because of latest downgrade. What makes ""smaller text"" part of a purported 'improvement', when the text was already too small?! Previous version (that didn't need fixing/breaking) displayed 2 checks to signify a text was received. Now, it's a circle with a check inside covering another circle, with a fragment of that circle visible. Why?? The 2 checks before was just fine & easier to see! * signifies improvements we're suggesting. * 2 checks please. Someone thought it a good idea to remove the color aqua/turquoise from color choices. Why?! Bring back what worked fine & stop wreaking the app. This is just what most app Undevelopers do to apps. They make changes, to show they're doing something, as if any changes made will be viewed as improvements. They are NOT improvements, hence the truth-telling above ""downgrade of the app"". We don't actually SEE any improvement in this version. Group chat, OK. We don't care about that. We'd like to SEE what we're writing. * And how about (as in native text app) as we wrote a text, let the window expand vertically, to more than 4 lines, so we don't have to scroll up & down just to see the first part of the sentence we're proof reading. We would have continued using older versions had we been given a choice. We save old APK files (installation files) of apps so we are NOT at the effect of these busybodies, the Undevelopers who ruin so many well functioning apps. It's as though the Undevs make changes, so as to look as though they're doing something & they are needed. In reading hundreds of reviews, we've discovered that many, many people are aware of this & at the effect of it, since they are NOT aware of how to save old APKs. Please stop wreaking Signal & manager, if there is one, please stop allowing these unnecessary downgrades of Signal to continue. * Please at least gives us the option to have larger text! * Again, let the window expand as we write... Although we appreciate the app & the idea, too often, a call doesn't connect & we have to restart app or even the phone. It's been like this for a looong time! On Android & iPoo. Have shared with many & many have same issue. Haven't noticed any improvement with this in 2 years. Video quality on calls not impressive. Sound quality sometimes OK. Good for sending files (sometimes). Wonder about any real privacy, since there's a mic in the phone? How does actual ""privacy"" happen in this situation? Signal is definitely worth having. Worth hoping for better... Nice to know (or ""believe"") Devs care about the consuming population. The way we actually speak of it is 4 stars. These words represent several individuals who use Signal. Thanks for doing your best!"
org.thoughtcrime.securesms,110.52642276422765,1,223,"If it's so privacy focussed, why can't it be installed without granting permissions to almost everything on the phone? Why can't I use this messaging app without granting access to my calendar, or body sensors, or my contacts? Some specific permissions are needed obviously (e.g. camera & storage if you want to take a photo and send it). But why my calendar or contacts? Must be data mining or would allow installation without these permissions. BBM don't do it. So, Signal app cannot be trusted."
org.mariotaku.twidere,108.13414634146342,1,2,"Update has messed up a lot of things New update has put words ""1 media"" across all images.  Twicca plug in adapter no longer works. Please load all tweets and add refresh from bottom button for list and home thanks"
org.thoughtcrime.securesms,102.34349593495935,3,152,"Good most of the time. Since there is an option to use this as the default SMS app, there needs to be a way to blacklist people so that they always default to regular SMS instead of Signal. Several times I have replied to an SMS and it defaulted to Signal (it defaults for each message) even though the user no longer had Signal installed or had their notifications turned off. Also, when creating a group message, there needs to be a way to change it to sms/mms. If all of the people in the message have signal accounts, there's no way to change it to sms/mms. Same issue here. One of the people in the group no longer uses Signal. I had to ask someone to delete their Signal account because they no longer had the app installed. Shouldn't have to do that."
org.thoughtcrime.securesms,101.84552845528455,1,1,"Do not install this app unless you're ok with it auto-generating unprompted marketing message spam to everyone in your contact list who happens to already be on signal, with a completely unprofessional heart emoji and a message like "" {your name} is on signal, say hey!"" A few of my contacts got this unintended outreach text when I upgraded my phone. This app also constantly prompts me to invite each person onto signal whenever I send any text to anyone not on signal. Since the ""invite""box takes up 4-5 lines (1/6th ) of my Nexus 5x 5.2"" screen, there is a good chance I will accidentally click it inadvertantly at some point, unless I  uninstall this app, since like their other forced outreaches being from my phone, I don't seem to have any way to turn these off, and I need to click to close an ""invite"" screen pop-up that blocks a chunk of my screen every time I use signal to send a text. Crazy, stupid, that I can't block these pop-ups on my own phone,  and a completely unprofessional outreach to my business contacts, as I mentioned above."
org.thoughtcrime.securesms,95.64024390243901,2,130,"The ""make profile visible"" issue is a constant source of frustration for all the users on my signal threads. On my (android) phone, I get a pop up window when I first join or start a thread which lets me make my profile visible but once done, there is no way view that setting. If you have several threads, it's hard to remember if you did that and impossible to verify that you did it correctly. We all end up spending a good deal of our time asking each other if you can see see my name and telling each other to access settings that either don't exist or are practically impossible to find. I think it may be different for iphone users because some on the thread swear that it's available any time but I've spent well over an hour on my phone trying every possible icon to no avail. Other users who don't have that problem are annoyed that they can't see my profile probably think I'm just not able to figure it out. Please just make a simple button in settings for all users of both platforms to make the profile visible!"
